core,section,ACorDC,top_angle,left_angle,right_angle,side_angle,true_dip,true_dip_angles,true_dip_scores
alhic1901,228_4,AC,-36.77605112,16.19976903,-10.60632194,13.40304549,-38.64301309,"[-38.87808981 -38.54424142 -39.18075393 -37.73660505 -38.24259112
 -40.29728377 -38.24259112 -41.36849718 -39.1184485  -39.37297318
 -38.65195599 -38.4401045  -37.02261876 -39.57312711 -37.47188767
 -38.87808981 -38.54424142 -39.18075393 -37.73660505 -38.24259112
 -40.29728377 -38.24259112 -41.36849718 -39.1184485  -39.37297318
 -38.65195599 -38.4401045  -37.02261876 -39.57312711 -37.47188767
 -35.15481978 -34.73223595 -35.53622606 -33.70139244 -34.34866136
 -36.92993983 -34.34866136 -38.24879266 -35.45784119 -35.77763332
 -34.86879968 -34.60000685 -32.77938172 -36.02834256 -33.36076174
 -34.72407094 -34.28999521 -35.11561822 -33.22993701 -33.89574965
 -36.54461832 -33.89574965 -37.89447555 -35.03516681 -35.36333362
 -34.43030262 -34.15411367 -32.28028716 -35.62050525 -32.87926713
 -42.24305321 -41.97547111 -42.48643433 -41.33200481 -41.73449409
 -43.39066764 -41.73449409 -44.26740763 -42.43627142 -42.64139161
 -42.06170425 -41.892194   -40.76780111 -42.80306335 -41.12230543
 -38.43472622 -38.09122767 -38.74599015 -37.25951124 -37.78070681
 -39.89306266 -37.78070681 -40.99191465 -38.68192583 -38.94359877
 -38.20207485 -37.98404478 -36.52333599 -39.1493057  -36.98666805
 -41.33921061 -41.05497339 -41.59752874 -40.37043458 -40.79878547
 -42.55553793 -40.79878547 -43.48192781 -41.54430355 -41.76189245
 -41.14660079 -40.96646253 -39.768995   -41.9332931  -40.14703135
 -42.01667095 -41.74499166 -42.26372887 -41.09143295 -41.50027509
 -43.18121701 -41.50027509 -44.07021923 -42.212812   -42.42100268
 -41.83255151 -41.6604276  -40.5180938  -42.58507126 -40.87836988
 -41.56474657 -41.2847401  -41.81927273 -40.61064631 -41.03241845
 -42.76364819 -41.03241845 -43.67747527 -41.76682476 -41.9812496
 -41.37499694 -41.19755928 -40.01869069 -42.1501825  -40.39073181
 -37.99270606 -37.63935498 -38.31274119 -36.78300635 -37.31976804
 -39.49089779 -37.31976804 -40.61778973 -38.24688361 -38.5158423
 -37.75340164 -37.52906001 -36.02407262 -38.72720507 -36.50183563
 -44.75085627 -44.52552886 -44.95623264 -43.9857192  -44.32303084
 -45.72278617 -44.32303084 -46.47121381 -44.91386962 -45.08720388
 -44.59809056 -44.45550358 -43.51482002 -45.22402418 -43.81043244
 -41.113963   -40.82544978 -41.37611206 -40.13034599 -40.56535254
 -42.34788248 -40.56535254 -43.28693552 -41.32210178 -41.54288634
 -40.91846261 -40.73559425 -39.5193033  -41.71677865 -39.90341133
 -36.45671999 -36.06723829 -36.80884134 -35.12014067 -35.71432074
 -38.10012257 -35.71432074 -39.32830113 -36.73642978 -37.03199731
 -36.19302827 -35.94551121 -34.27681322 -37.26398145 -34.80815159
 -38.87808981 -38.54424142 -39.18075393 -37.73660505 -38.24259112
 -40.29728377 -38.24259112 -41.36849718 -39.1184485  -39.37297318
 -38.65195599 -38.4401045  -37.02261876 -39.57312711 -37.47188767
 -37.77221035 -37.41385598 -38.09669614 -36.54498025 -37.08966142
 -39.29059927 -37.08966142 -40.43166147 -38.0299289  -38.30258259
 -37.52952786 -37.30197978 -35.77444841 -38.51681218 -36.25956837
 -36.89376019 -36.51486842 -37.23649004 -35.59443897 -36.171734
 -38.494756   -36.171734   -39.6934979  -37.16599582 -37.45378219
 -36.63721471 -36.39649536 -34.77600338 -37.67974178 -35.29152941
 -36.675054   -36.29089444 -37.02245686 -35.35720666 -35.94289502
 -38.29716052 -35.94289502 -39.51057118 -36.95100852 -37.24266738
 -36.41495356 -36.17085332 -34.52640552 -37.47162583 -35.04978556
 -35.58720744 -35.17588378 -35.95866425 -34.17359451 -34.80275089
 -37.31766531 -34.80275089 -38.60590168 -35.88230787 -36.19387644
 -35.30878104 -35.0472302  -33.27850153 -36.43823433 -33.84275197
 -36.02118861 -35.62089763 -36.3828847  -34.64651842 -35.25798214
 -37.70774291 -35.25798214 -38.96575368 -36.30851926 -36.61201357
 -35.75020412 -35.4957442  -33.77764566 -36.85013012 -34.32522066]","[0.88933205 0.97882252 0.95474921 0.95895482 0.98644985 0.93860567
 0.93029519 0.96374781 0.98152591 0.95254552 0.94692266 0.91347638
 0.92462736 0.94598119 0.87731717 0.88843843 0.97783898 0.95378986
 0.95799124 0.98545864 0.93766253 0.92936041 0.96277941 0.98053965
 0.95158838 0.94597117 0.91255849 0.92369827 0.94503064 0.87643562
 0.89039448 0.97999186 0.9558898  0.96010042 0.98762831 0.93972696
 0.93140656 0.96489914 0.98269848 0.95368347 0.94805389 0.91456765
 0.92573195 0.94711129 0.87836525 0.89064038 0.9802625  0.95615378
 0.96036557 0.98790105 0.93998648 0.93166378 0.96516561 0.98296986
 0.95394684 0.94831571 0.91482022 0.92598761 0.94737285 0.87860782
 0.89051228 0.98012151 0.95601626 0.96022744 0.98775897 0.93985129
 0.93152979 0.96502679 0.98282849 0.95380964 0.94817932 0.91468865
 0.92585443 0.9472366  0.87848146 0.89033789 0.97992957 0.95582904
 0.9600394  0.98756553 0.93966724 0.93134736 0.96483781 0.98263602
 0.95362286 0.94799364 0.91450952 0.92567312 0.9470511  0.87830942
 0.88910894 0.97857696 0.95450969 0.95871424 0.98620238 0.9383702
 0.93006181 0.96350603 0.98127967 0.95230655 0.9466851  0.91324721
 0.92439539 0.94574386 0.87709707 0.88789952 0.97724584 0.95321131
 0.95741014 0.98486089 0.93709377 0.92879668 0.96219541 0.97994487
 0.95101117 0.94539737 0.91200496 0.92313797 0.94445741 0.875904
 0.88376735 0.97269786 0.94877518 0.95295447 0.98027747 0.93273265
 0.92447418 0.95771747 0.97538433 0.94658528 0.9409976  0.9077606
 0.9188418  0.94006202 0.87182765 0.8891866  0.97866243 0.95459307
 0.95879798 0.98628852 0.93845216 0.93014304 0.96359019 0.98136538
 0.95238973 0.94676779 0.91332698 0.92447613 0.94582647 0.87717369
 0.88348613 0.97238834 0.94847328 0.95265123 0.97996553 0.93243585
 0.92418    0.95741272 0.97507396 0.94628407 0.94069817 0.90747174
 0.91854942 0.93976288 0.87155022 0.88169022 0.97041171 0.94654527
 0.95071473 0.97797351 0.93054044 0.92230137 0.95546653 0.97309187
 0.94436051 0.93878597 0.90562708 0.91668224 0.93785258 0.86977858
 0.8815841  0.97029491 0.94643134 0.9506003  0.9778558  0.93042844
 0.92219036 0.95535153 0.97297475 0.94424684 0.93867297 0.90551807
 0.9165719  0.9377397  0.86967389 0.87895838 0.96740498 0.94361248
 0.94776902 0.97494334 0.92765724 0.9194437  0.95250611 0.97007683
 0.94143449 0.93587722 0.90282107 0.91384198 0.93494673 0.86708365
 0.87980658 0.96833853 0.94452307 0.94868363 0.97588417 0.92855243
 0.92033097 0.95342528 0.97101296 0.94234298 0.93678035 0.9036923
 0.91472384 0.93584896 0.86792039 0.8797456  0.96827141 0.9444576
 0.94861787 0.97581653 0.92848807 0.92026718 0.95335919 0.97094566
 0.94227766 0.93671542 0.90362966 0.91466044 0.93578409 0.86786023
 0.88160734 0.9703205  0.94645629 0.95062537 0.97788158 0.93045297
 0.92221468 0.95537672 0.97300041 0.94427174 0.93869772 0.90554195
 0.91659607 0.93776443 0.86969682 0.88539576 0.97449013 0.95052337
 0.95471036 0.9820837  0.93445128 0.92617759 0.95948214 0.97718155
 0.94832943 0.94273146 0.90943321 0.92053484 0.94179415 0.87343405
 0.88683462 0.97607378 0.95206808 0.95626187 0.9836797  0.93596987
 0.92768273 0.9610414  0.97876958 0.94987058 0.94426351 0.91091115
 0.92203081 0.94332468 0.87485348]"
alhic1901,230_4,AC,27.8197762,30.74962287,-30.15633611,30.45297949,38.79907558,"[36.94242001 34.92239342 34.74296877 37.50731028 38.46124308 35.10254642
 35.10254642 35.28341969 34.56428072 37.6968689  35.83028207 38.07784045
 37.50731028 33.85706422 34.20914807 34.38633765 41.33357955 39.8294766
 39.69788249 41.7613914  42.49071473 39.96194072 39.96194072 40.0952709
 39.56716236 41.9056351  40.50041884 42.19656091 41.7613914  39.053102
 39.30836004 39.4373202  37.89447555 35.99796653 35.8301335  38.42700128
 39.32830113 36.16658644 36.16658644 36.33598577 35.6630949  38.60590168
 36.84878731 38.96575368 38.42700128 35.00303998 35.33143181 35.49685841
 36.44765115 34.36055164 34.17479313 37.02999355 38.01220353 34.54699969
 34.54699969 34.73412896 33.9897326  37.22528867 35.29952344 37.61761168
 37.02999355 33.25664491 33.62174009 33.80537867 37.14722367 35.1543725
 34.97750613 37.70501834 38.64743332 35.33198153 35.33198153 35.51032522
 34.80139054 37.89224246 36.04968641 38.26859134 37.70501834 34.10460301
 34.45144482 34.62603397 40.66877265 39.09480868 38.95682533 41.11543413
 41.8759022  39.23365798 39.23365798 39.37336857 38.81971263 41.26593545
 39.79762207 41.56933462 41.11543413 38.28006372 38.54811818 38.68347532
 38.00503788 36.12241921 35.95588398 38.53390587 39.42924164 36.28974687
 36.28974687 36.4578596  35.79014865 38.71160011 36.96683613 39.06905969
 38.53390587 35.1353594  35.46110809 35.62522079 38.34235627 36.50155357
 36.33891841 38.86019091 39.73751717 36.66499668 36.66499668 36.82924068
 36.17709837 39.03424483 37.32670871 39.38448107 38.86019091 35.5381159
 35.85593274 36.01610069 39.8994205  38.24119151 38.0954664  40.36869968
 41.16643076 38.38777169 38.38777169 38.53520144 37.9506019  40.52669862
 38.982534   40.84502673 40.36869968 37.37986289 37.6634772  37.80660361
 36.74154072 34.69452734 34.51255765 37.3134633  38.27879919 34.87721038
 34.87721038 35.06059858 34.33130964 37.50533435 35.61491425 37.89088308
 37.3134633  33.61370646 33.97101278 34.15079181 35.70831143 33.51708153
 33.32143305 36.31757493 37.34325929 33.71334899 33.71334899 33.91022705
 33.12641204 36.52170395 34.50444402 36.93148589 36.31757493 32.35277963
 32.73828748 32.93202723 37.56847489 35.63046862 35.45875155 38.1119063
 39.0309695  35.80295474 35.80295474 35.97620221 35.28781136 38.29440102
 36.50043734 38.66137943 38.1119063  34.6119801  34.94829351 35.11765599
 39.8994205  38.24119151 38.0954664  40.36869968 41.16643076 38.38777169
 38.38777169 38.53520144 37.9506019  40.52669862 38.982534   40.84502673
 40.36869968 37.37986289 37.6634772  37.80660361 42.01946166 40.58469675
 40.45941842 42.42847764 43.12666441 40.71084479 40.71084479 40.83785931
 40.33501302 42.56647342 41.22406993 42.84493312 42.42847764 39.84618616
 40.08883406 40.2114838  35.62050525 33.41658602 33.21972753 36.23303484
 37.26398145 33.614054   33.614054   33.81212313 33.02348703 36.43823433
 34.40985673 36.85013012 36.23303484 32.24488141 32.63289492 32.8278732
 41.88061903 40.43203666 40.30550176 42.2933875  42.99779693 40.55944167
 40.55944167 40.68771341 40.17984033 42.43263129 41.07769581 42.71358203
 42.2933875  39.68599785 39.93115156 40.05505579 41.33357955 39.8294766
 39.69788249 41.7613914  42.49071473 39.96194072 39.96194072 40.0952709
 39.56716236 41.9056351  40.50041884 42.19656091 41.7613914  39.053102
 39.30836004 39.4373202  36.54461832 34.4708252  34.28632549 37.12350536
 38.10012257 34.65602255 34.65602255 34.84190927 34.10253184 37.31766531
 35.40362517 37.70774291 37.12350536 33.37459164 33.73709716 33.91945282
 36.35168546 34.25133838 34.06432551 36.93746453 37.92523417 34.4390325
 34.4390325  34.62739955 33.87800239 37.13388838 35.19645736 37.52844364
 36.93746453 33.1397825  33.50746006 33.69237764 38.45665988 36.62983747
 36.46850392 38.97079843 39.84208521 36.79198375 36.79198375 36.9549358
 36.30799017 39.14363221 37.44855837 39.49144641 38.97079843 35.67427737
 35.98945071 36.14830336 41.33357955 39.8294766  39.69788249 41.7613914
 42.49071473 39.96194072 39.96194072 40.0952709  39.56716236 41.9056351
 40.50041884 42.19656091 41.7613914  39.053102   39.30836004 39.4373202
 38.80510923 37.02032505 36.86289859 39.30811168 40.1611825  37.17857744
 37.17857744 37.33764913 36.70630477 39.47726727 37.81971498 39.81777718
 39.30811168 36.08839295 36.39564229 36.55055038 40.02546411 38.38129905
 38.23686876 40.49097741 41.28251232 38.52658669 38.52658669 38.67272632
 38.09330122 40.64772881 39.11620433 40.96357412 40.49097741 37.52776863
 37.8087763  37.9506019  35.88702261 33.72140431 33.52819482 36.48968436
 37.50472406 33.9152513  33.9152513  34.10972742 33.33563138 36.69164878
 34.69684944 37.09715516 36.48968436 32.57201496 32.95247766 33.1437227
 41.33357955 39.8294766  39.69788249 41.7613914  42.49071473 39.96194072
 39.96194072 40.0952709  39.56716236 41.9056351  40.50041884 42.19656091
 41.7613914  39.053102   39.30836004 39.4373202  34.87746887 32.56329904
 32.35588237 35.5182414  36.59458257 32.77123449 32.77123449 32.97968083
 32.1489926  35.73268618 33.60800873 36.16282198 35.5182414  31.32687124
 31.73682709 31.94263801 38.80510923 37.02032505 36.86289859 39.30811168
 40.1611825  37.17857744 37.17857744 37.33764913 36.70630477 39.47726727
 37.81971498 39.81777718 39.30811168 36.08839295 36.39564229 36.55055038
 35.70831143 33.51708153 33.32143305 36.31757493 37.34325929 33.71334899
 33.71334899 33.91022705 33.12641204 36.52170395 34.50444402 36.93148589
 36.31757493 32.35277963 32.73828748 32.93202723 37.89447555 35.99796653
 35.8301335  38.42700128 39.32830113 36.16658644 36.16658644 36.33598577
 35.6630949  38.60590168 36.84878731 38.96575368 38.42700128 35.00303998
 35.33143181 35.49685841 44.35125211 43.13296428 43.0272445  44.70103157
 45.30056645 43.23952619 43.23952619 43.34692927 42.92236783 44.81928402
 43.67417587 45.05827249 44.70103157 42.5113119  42.71514773 42.81833524
 39.64997985 37.96361231 37.81529328 40.12678273 40.93688307 38.11278128
 38.11278128 38.26279441 37.66783001 40.28727306 38.71784218 40.61055804
 40.12678273 37.08665296 37.3754943  37.52122837 42.44093666 41.04745256
 40.92592242 42.8387213  43.51826435 41.16985022 41.16985022 41.29311261
 40.80526258 42.97297982 41.66806064 43.24397703 42.8387213  40.33138281
 40.5665651  40.68547587 46.88241039 45.86890288 45.7814698  47.17538645
 47.67958073 45.95711681 45.95711681 46.04611251 45.69481663 47.27463256
 46.31779967 47.47551189 47.17538645 45.35598477 45.52384636 45.60894245
 42.72601095 41.35989178 41.24084144 43.1163335  43.78347393 41.47980737
 41.47980737 41.60058573 41.12265886 43.24810741 41.96807264 43.51414103
 43.1163335  40.65865673 40.88890707 41.00534656 42.5830668  41.20328155
 41.08299328 42.9771176  43.65045627 41.32443629 41.32443629 41.44645485
 40.96357412 43.11013304 41.81766737 43.37864715 42.9771176  40.49464212
 40.72735381 40.84502673 43.74915512 42.4776816  42.36717854 44.11356574
 44.73754072 42.5890372  42.5890372  42.70124384 42.25752955 44.23670208
 43.04295499 44.48546552 44.11356574 41.82750472 42.04079983 42.14873613
 44.96580299 43.79996431 43.69894778 45.30110465 45.87640831 43.90181045
 43.90181045 44.00448575 43.59876132 45.4145197  44.31748214 45.6438191
 45.30110465 43.20632544 43.40088045 43.49940539 42.15913094 40.73815575
 40.61413047 42.56439853 43.25636626 40.86305016 40.86305016 40.98881064
 40.49097741 42.70114735 41.37125805 42.9771176  42.56439853 40.00714982
 40.2473004  40.36869968 41.33357955 39.8294766  39.69788249 41.7613914
 42.49071473 39.96194072 39.96194072 40.0952709  39.56716236 41.9056351
 40.50041884 42.19656091 41.7613914  39.053102   39.30836004 39.4373202
 39.8994205  38.24119151 38.0954664  40.36869968 41.16643076 38.38777169
 38.38777169 38.53520144 37.9506019  40.52669862 38.982534   40.84502673
 40.36869968 37.37986289 37.6634772  37.80660361 42.86976601 41.51727894
 41.39946251 43.25636626 43.91731518 41.63595927 41.63595927 41.75550113
 41.28251232 43.38690029 42.11927266 43.65045627 43.25636626 40.82342175
 41.05122021 41.16643076]","[0.99150915 0.99005042 0.99079277 0.99085791 0.9863095  0.9849824
 0.98500042 0.98793287 0.99282813 0.98693357 0.986874   0.99010208
 0.98633289 0.98694419 0.99017724 0.99189181 0.98165621 0.98021197
 0.98094695 0.98101144 0.97650823 0.97519432 0.97521216 0.97811546
 0.98296208 0.9771261  0.97706712 0.98026312 0.97653139 0.97713662
 0.98033753 0.98203507 0.97834221 0.97690285 0.97763534 0.97769962
 0.97321162 0.97190214 0.97191991 0.97481342 0.97964368 0.9738274
 0.97376861 0.97695382 0.97323469 0.97383788 0.97702799 0.97871979
 0.96416693 0.96274843 0.96347031 0.96353366 0.95911068 0.95782017
 0.95783769 0.96068927 0.96544954 0.95971754 0.9596596  0.96279866
 0.95913342 0.95972787 0.96287175 0.96453904 0.96513719 0.96371727
 0.96443987 0.96450328 0.96007585 0.95878404 0.95880158 0.96165603
 0.96642109 0.96068332 0.96062533 0.96376755 0.96009861 0.96069366
 0.96384071 0.96550968 0.98289016 0.98144411 0.98218    0.98224458
 0.97773571 0.97642015 0.97643801 0.97934496 0.98419767 0.97835436
 0.9782953  0.98149532 0.97775889 0.97836489 0.98156982 0.98326949
 0.96748105 0.96605768 0.96678203 0.9668456  0.96240742 0.96111248
 0.96113006 0.96399144 0.96876807 0.96301636 0.96295823 0.96610808
 0.96243024 0.96302673 0.96618142 0.96785444 0.961801   0.96038598
 0.96110609 0.96116928 0.95675715 0.95546981 0.95548729 0.95833188
 0.96308046 0.95736252 0.95730473 0.96043609 0.95677984 0.95737283
 0.960509   0.9621722  0.96422718 0.96280859 0.96353051 0.96359386
 0.9591706  0.95788002 0.95789754 0.9607493  0.96550987 0.9597775
 0.95971957 0.96285882 0.95919334 0.95978783 0.96293192 0.96459931
 0.98007676 0.97863485 0.97936864 0.97943304 0.97493707 0.97362527
 0.97364308 0.97654172 0.98138054 0.97555395 0.97549506 0.97868592
 0.97496019 0.97556445 0.97876021 0.98045501 0.96825617 0.96683165
 0.96755659 0.96762021 0.96317847 0.96188249 0.96190008 0.96476376
 0.96954422 0.9637879  0.96372972 0.9668821  0.9632013  0.96379828
 0.9669555  0.96862986 0.96457427 0.96315517 0.96387735 0.96394072
 0.95951588 0.95822483 0.95824235 0.96109514 0.96585742 0.96012299
 0.96006504 0.96320542 0.95953863 0.96013333 0.96327854 0.96494654
 0.98192261 0.98047799 0.98121316 0.98127767 0.97677324 0.97545897
 0.97547681 0.97838091 0.98322884 0.97739128 0.97733228 0.98052915
 0.9767964  0.9774018  0.98060358 0.98230158 0.96933737 0.96791127
 0.96863701 0.9687007  0.964254   0.96295658 0.96297419 0.96584106
 0.97062686 0.96486412 0.96480587 0.96796177 0.96427686 0.9648745
 0.96803525 0.96971148 0.9545994  0.95319498 0.95390969 0.95397241
 0.94959332 0.94831562 0.94833297 0.95115625 0.95586929 0.95019416
 0.9501368  0.95324471 0.94961584 0.95020439 0.95331708 0.95496782
 0.9674816  0.96605822 0.96678258 0.96684614 0.96240796 0.96111302
 0.9611306  0.96399198 0.96876862 0.9630169  0.96295877 0.96610862
 0.96243078 0.96302727 0.96618196 0.96785499 0.97231077 0.97088029
 0.97160827 0.97167215 0.96721181 0.9659104  0.96592807 0.96880374
 0.97360422 0.9678238  0.96776537 0.97093095 0.96723474 0.96783421
 0.97100466 0.97268603 0.9582365  0.95682672 0.95754416 0.95760712
 0.95321134 0.95192878 0.95194619 0.95478023 0.95951122 0.95381447
 0.9537569  0.95687665 0.95323394 0.95382474 0.95694929 0.95860632
 0.97070636 0.96927824 0.97000501 0.97006879 0.96561581 0.96431655
 0.96433419 0.96720511 0.97199767 0.96622679 0.96616846 0.96932881
 0.9656387  0.96623719 0.9694024  0.971081   0.99319697 0.99173576
 0.99247937 0.99254462 0.98798847 0.98665911 0.98667716 0.9896146
 0.9945182  0.9886136  0.98855393 0.9917875  0.9880119  0.98862424
 0.99186279 0.99358028 0.97599949 0.97456358 0.97529432 0.97535844
 0.97088119 0.96957484 0.96959258 0.97247915 0.97729784 0.97149549
 0.97143685 0.97461443 0.9709042  0.97150595 0.97468842 0.97637617
 0.95615862 0.9547519  0.95546778 0.9555306  0.95114436 0.94986457
 0.94988195 0.95270985 0.95743058 0.95174618 0.95168873 0.95480172
 0.95116691 0.95175642 0.9548742  0.95652764 0.96055128 0.9591381
 0.95985727 0.95992038 0.95551399 0.95422832 0.95424578 0.95708667
 0.96182909 0.95611857 0.95606086 0.95918815 0.95553664 0.95612886
 0.95926096 0.960922   0.97579558 0.97435997 0.97509055 0.97515467
 0.97067834 0.96937227 0.96939    0.97227598 0.97709366 0.97129252
 0.97123389 0.97441081 0.97070136 0.97130297 0.97448478 0.97617218
 0.97163482 0.97020534 0.9709328  0.97099664 0.96653941 0.9652389
 0.96525656 0.96813023 0.97292737 0.96715097 0.96709258 0.97025596
 0.96656232 0.96716138 0.97032961 0.97200982 0.967656   0.96623237
 0.96695686 0.96702043 0.96258145 0.96128627 0.96130386 0.96416576
 0.96894325 0.9631905  0.96313236 0.96628278 0.96260427 0.96320087
 0.96635614 0.96802946 0.97771235 0.97627392 0.97700594 0.97707018
 0.97258506 0.97127642 0.97129419 0.97418583 0.97901298 0.97320044
 0.9731417  0.97632486 0.97260812 0.97321092 0.97639897 0.97808969
 0.97935718 0.97791633 0.97864958 0.97871392 0.97422126 0.97291042
 0.97292822 0.97582473 0.98066    0.97483768 0.97477884 0.97796735
 0.97424436 0.97484818 0.97804159 0.97973515 0.97030253 0.968875
 0.96960147 0.96966522 0.9652141  0.96391538 0.96393301 0.96680274
 0.9715933  0.96582482 0.96576652 0.96892555 0.96523698 0.96583521
 0.96899911 0.97067701 0.96525076 0.96383066 0.96455335 0.96461677
 0.96018882 0.95889686 0.9589144  0.96176919 0.96653481 0.96079636
 0.96073836 0.96388095 0.96021158 0.9608067  0.96395412 0.96562329
 0.9619138  0.96049862 0.9612188  0.961282   0.95686936 0.95558187
 0.95559935 0.95844427 0.96319341 0.9574748  0.95741701 0.96054873
 0.95689205 0.95748511 0.96062165 0.96228504 0.9728248  0.97139356
 0.97212192 0.97218584 0.96772314 0.96642105 0.96643873 0.96931591
 0.97411893 0.96833545 0.968277   0.97144425 0.96774609 0.96834587
 0.97151799 0.97320025 0.97394547 0.97251258 0.97324178 0.97330577
 0.96883793 0.96753434 0.96755204 0.97043254 0.97524109 0.96945095
 0.96939243 0.97256332 0.9688609  0.96946138 0.97263715 0.97432135
 0.96761606 0.96619248 0.96691694 0.96698051 0.96254171 0.96124659
 0.96126417 0.96412596 0.96890325 0.96315074 0.9630926  0.96624289
 0.96256453 0.96316111 0.96631624 0.9679895  0.97218226 0.97075197
 0.97147985 0.97154372 0.96708398 0.96578274 0.96580041 0.96867569
 0.97347554 0.96769588 0.96763747 0.97080262 0.9671069  0.96770629
 0.97087632 0.97255747 0.96957392 0.96814747 0.96887339 0.96893709
 0.96448931 0.96319157 0.96320919 0.96607676 0.97086373 0.96509957
 0.96504132 0.96819798 0.96451218 0.96510996 0.96827148 0.96994812
 0.98035185 0.97890954 0.97964353 0.97970794 0.97521072 0.97389855
 0.97391636 0.97681581 0.98165599 0.97582776 0.97576886 0.97896061
 0.97523384 0.97583827 0.97903493 0.98073021 0.98688832 0.98543639
 0.98617528 0.98624012 0.98171291 0.98039199 0.98040992 0.9833287
 0.98820115 0.98233407 0.98227477 0.9854878  0.98173618 0.98234464
 0.98556262 0.9872692  0.9720267  0.97059664 0.9713244  0.97138826
 0.96692923 0.9656282  0.96564587 0.96852069 0.97331977 0.96754104
 0.96748263 0.97064728 0.96695215 0.96755145 0.97072097 0.97240185
 0.95982666 0.95841454 0.95913317 0.95919623 0.95479316 0.95350846
 0.95352591 0.95636465 0.96110349 0.95539729 0.95533962 0.95846455
 0.9548158  0.95540757 0.95853731 0.96019709 0.98066309 0.97922032
 0.97995455 0.98001898 0.97552033 0.97420774 0.97422556 0.97712593
 0.98196765 0.97613757 0.97607865 0.97927142 0.97554346 0.97614808
 0.97934576 0.98104157]"