core,time,section,face,ACorDC,Y_left,Y_right,AC_edgespace,DC_edgespace
alhic1901,-,230_4,t,DC,-5.08,206.763,15,10
alhic1901,-,230_4,l,DC,70.404,170.096,15,10
alhic1901,-,228_4,t,DC,-10,192,15,10
alhic1901,-,228_4,l,AC,63.881,166.25,15,10
alhic1901,-,228_4,l,DC,65.891,149.177,15,10
alhic1901,-,230_4,l,AC,69.731,180.963,15,10
alhic1901,-,230_4,t,AC,-8.952,235.086,15,10
alhic1901,-,230_4,r,DC,71.603,169.997,15,10
alhic1901,-,230_4,r,AC,68.73,176.531,15,10
alhic1901,-,228_4,r,DC,52.448,135.655,15,10
alhic1901,-,228_4,r,AC,48.083,155.629,15,10
alhic1901,-,228_4,t,AC,-15,218.793,15,10
alhic1901,-,228_4,o,AC,0,239.9377266,18,10
alhic1901,-,228_4,o,DC,2.936875,244.5102227,18,10